date,price
2016-01-01,100.030005
2016-01-02,100.100043
2016-01-03,100.210154
2016-01-04,100.360381
2016-01-05,100.550771
2016-01-06,100.781372
2016-01-07,101.052236
2016-01-08,101.363415
2016-01-09,101.714965
2016-01-10,102.106939
2016-01-11,102.539390
2016-01-12,103.012371
2016-01-13,103.525929
2016-01-14,104.080110
2016-01-15,104.674950
2016-01-16,105.310480
2016-01-17,105.986721
2016-01-18,106.703684
2016-01-19,107.461366
2016-01-20,108.259748
2016-01-21,109.098796
2016-01-22,109.978453
2016-01-23,110.898644
2016-01-24,111.859266
2016-01-25,112.860190
2016-01-26,113.901258
2016-01-27,114.982279
2016-01-28,116.103025
2016-01-29,117.263231
2016-01-30,118.462589
2016-01-31,119.700748
2016-02-01,120.977307
2016-02-02,122.291816
2016-02-03,123.643771
2016-02-04,125.032608
2016-02-05,126.457705
2016-02-06,127.918376
2016-02-07,129.413868
2016-02-08,130.943357
2016-02-09,132.505949
2016-02-10,134.100671
2016-02-11,135.726475
2016-02-12,137.382231
2016-02-13,139.066724
2016-02-14,140.778657
2016-02-15,142.516643
2016-02-16,144.279208
2016-02-17,146.064786
2016-02-18,147.871721
2016-02-19,149.698263
2016-02-20,151.542572
2016-02-21,153.402711
2016-02-22,155.276656
2016-02-23,157.162287
2016-02-24,159.057396
2016-02-25,160.959686
2016-02-26,162.866772
2016-02-27,164.776189
2016-02-28,166.685386
2016-02-29,168.591741
2016-03-01,170.492554
2016-03-02,172.385062
2016-03-03,174.266435
2016-03-04,176.133790
2016-03-05,177.984191
2016-03-06,179.814661
2016-03-07,181.622184
2016-03-08,183.403717
2016-03-09,185.156197
2016-03-10,186.876551
2016-03-11,188.561700
2016-03-12,190.208574
2016-03-13,191.814122
2016-03-14,193.375316
2016-03-15,194.889166
2016-03-16,196.352729
2016-03-17,197.763122
2016-03-18,199.117526
2016-03-19,200.413203
2016-03-20,201.647503
2016-03-21,202.817875
2016-03-22,203.921877
2016-03-23,204.957187
2016-03-24,205.921609
2016-03-25,206.813085
2016-03-26,207.629703
2016-03-27,208.369705
2016-03-28,209.031492
2016-03-29,209.613636
2016-03-30,210.114880
2016-03-31,210.534150
2016-04-01,210.870552
2016-04-02,211.123383
2016-04-03,211.292131
2016-04-04,211.376477
2016-04-05,211.376296
2016-04-06,211.291659
2016-04-07,211.122832
2016-04-08,210.870273
2016-04-09,210.534635
2016-04-10,210.116757
2016-04-11,209.617663
2016-04-12,209.038559
2016-04-13,208.380824
2016-04-14,207.646008
2016-04-15,206.835821
2016-04-16,205.952132
2016-04-17,204.996952
2016-04-18,203.972436
2016-04-19,202.880865
2016-04-20,201.724642
2016-04-21,200.506282
2016-04-22,199.228398
2016-04-23,197.893698
2016-04-24,196.504968
2016-04-25,195.065065
2016-04-26,193.576906
2016-04-27,192.043457
2016-04-28,190.467725
2016-04-29,188.852745
2016-04-30,187.201570
2016-05-01,185.517266
2016-05-02,183.802898
2016-05-03,182.061519
2016-05-04,180.296171
2016-05-05,178.509864
2016-05-06,176.705579
2016-05-07,174.886254
2016-05-08,173.054780
2016-05-09,171.213994
2016-05-10,169.366672
2016-05-11,167.515528
2016-05-12,165.663203
2016-05-13,163.812263
2016-05-14,161.965199
2016-05-15,160.124419
2016-05-16,158.292246
2016-05-17,156.470919
2016-05-18,154.662586
2016-05-19,152.869307
2016-05-20,151.093054
2016-05-21,149.335704
2016-05-22,147.599046
2016-05-23,145.884779
2016-05-24,144.194509
2016-05-25,142.529758
2016-05-26,140.891957
2016-05-27,139.282452
2016-05-28,137.702507
2016-05-29,136.153301
2016-05-30,134.635937
2016-05-31,133.151439
2016-06-01,131.700756
2016-06-02,130.284768
2016-06-03,128.904283
2016-06-04,127.560045
2016-06-05,126.252736
2016-06-06,124.982977
2016-06-07,123.751333
2016-06-08,122.558316
2016-06-09,121.404387
2016-06-10,120.289960
2016-06-11,119.215405
2016-06-12,118.181053
2016-06-13,117.187193
2016-06-14,116.234083
2016-06-15,115.321946
2016-06-16,114.450978
2016-06-17,113.621345
2016-06-18,112.833194
2016-06-19,112.086645
2016-06-20,111.381802
2016-06-21,110.718753
2016-06-22,110.097568
2016-06-23,109.518308
2016-06-24,108.981021
2016-06-25,108.485746
2016-06-26,108.032518
2016-06-27,107.621363
2016-06-28,107.252305
2016-06-29,106.925364
2016-06-30,106.640561
2016-07-01,106.397913
2016-07-02,106.197441
2016-07-03,106.039166
2016-07-04,105.923110
2016-07-05,105.849299
2016-07-06,105.817764
2016-07-07,105.828535
2016-07-08,105.881649
2016-07-09,105.977147
2016-07-10,106.115072
2016-07-11,106.295471
2016-07-12,106.518395
2016-07-13,106.783897
2016-07-14,107.092032
2016-07-15,107.442858
2016-07-16,107.836430
2016-07-17,108.272808
2016-07-18,108.752046
2016-07-19,109.274198
2016-07-20,109.839312
2016-07-21,110.447433
2016-07-22,111.098596
2016-07-23,111.792829
2016-07-24,112.530149
2016-07-25,113.310560
2016-07-26,114.134051
2016-07-27,115.000594
2016-07-28,115.910142
2016-07-29,116.862624
2016-07-30,117.857946
2016-07-31,118.895988
2016-08-01,119.976595
2016-08-02,121.099585
2016-08-03,122.264735
2016-08-04,123.471785
2016-08-05,124.720431
2016-08-06,126.010327
2016-08-07,127.341073
2016-08-08,128.712221
2016-08-09,130.123264
2016-08-10,131.573638
2016-08-11,133.062717
2016-08-12,134.589808
2016-08-13,136.154149
2016-08-14,137.754907
2016-08-15,139.391172
2016-08-16,141.061957
2016-08-17,142.766192
2016-08-18,144.502725
2016-08-19,146.270315
2016-08-20,148.067634
2016-08-21,149.893260
2016-08-22,151.745680
2016-08-23,153.623285
2016-08-24,155.524369
2016-08-25,157.447132
2016-08-26,159.389672
2016-08-27,161.349991
2016-08-28,163.325993
2016-08-29,165.315485
2016-08-30,167.316176
2016-08-31,169.325681
2016-09-01,171.341524
2016-09-02,173.361137
2016-09-03,175.381865
2016-09-04,177.400970
2016-09-05,179.415636
2016-09-06,181.422972
2016-09-07,183.420017
2016-09-08,185.403747
2016-09-09,187.371083
2016-09-10,189.318894
2016-09-11,191.244009
2016-09-12,193.143221
2016-09-13,195.013299
2016-09-14,196.850993
2016-09-15,198.653048
2016-09-16,200.416211
2016-09-17,202.137240
2016-09-18,203.812918
2016-09-19,205.440060
2016-09-20,207.015526
2016-09-21,208.536233
2016-09-22,209.999161
2016-09-23,211.401370
2016-09-24,212.740009
2016-09-25,214.012325
2016-09-26,215.215675
2016-09-27,216.347538
2016-09-28,217.405522
2016-09-29,218.387378
2016-09-30,219.291003
2016-10-01,220.114455
2016-10-02,220.855959
2016-10-03,221.513913
2016-10-04,222.086896
2016-10-05,222.573674
2016-10-06,222.973208
2016-10-07,223.284653
2016-10-08,223.507366
2016-10-09,223.640908
2016-10-10,223.685045
2016-10-11,223.639749
2016-10-12,223.505200
2016-10-13,223.281783
2016-10-14,222.970086
2016-10-15,222.570899
2016-10-16,222.085209
2016-10-17,221.514199
2016-10-18,220.859238
2016-10-19,220.121876
2016-10-20,219.303841
2016-10-21,218.407027
2016-10-22,217.433490
2016-10-23,216.385436
2016-10-24,215.265212
2016-10-25,214.075300
2016-10-26,212.818302
2016-10-27,211.496935
2016-10-28,210.114015
2016-10-29,208.672451
2016-10-30,207.175229
2016-10-31,205.625407
2016-11-01,204.026100
2016-11-02,202.380468
2016-11-03,200.691709
2016-11-04,198.963047
2016-11-05,197.197721
2016-11-06,195.398974
2016-11-07,193.570046
2016-11-08,191.714163
2016-11-09,189.834526
2016-11-10,187.934307
2016-11-11,186.016638
2016-11-12,184.084604
2016-11-13,182.141236
2016-11-14,180.189505
2016-11-15,178.232316
2016-11-16,176.272500
2016-11-17,174.312815
2016-11-18,172.355936
2016-11-19,170.404455
2016-11-20,168.460874
2016-11-21,166.527608
2016-11-22,164.606977
2016-11-23,162.701208
2016-11-24,160.812433
2016-11-25,158.942689
2016-11-26,157.093914
2016-11-27,155.267954
2016-11-28,153.466557
2016-11-29,151.691377
2016-11-30,149.943975
2016-12-01,148.225822
2016-12-02,146.538296
2016-12-03,144.882690
2016-12-04,143.260211
2016-12-05,141.671983
2016-12-06,140.119049
2016-12-07,138.602376
2016-12-08,137.122856
2016-12-09,135.681312
2016-12-10,134.278495
2016-12-11,132.915094
2016-12-12,131.591738
2016-12-13,130.308993
2016-12-14,129.067375
2016-12-15,127.867347
2016-12-16,126.709322
2016-12-17,125.593670
2016-12-18,124.520719
2016-12-19,123.490759
2016-12-20,122.504042
2016-12-21,121.560790
2016-12-22,120.661194
2016-12-23,119.805420
2016-12-24,118.993607
2016-12-25,118.225875
2016-12-26,117.502325
2016-12-27,116.823039
2016-12-28,116.188086
2016-12-29,115.597524
2016-12-30,115.051400
2016-12-31,114.549751
2017-01-01,114.092610
2017-01-02,113.680003
2017-01-03,113.311953
2017-01-04,112.988481
2017-01-05,112.709608
2017-01-06,112.475354
2017-01-07,112.285740
2017-01-08,112.140789
2017-01-09,112.040528
2017-01-10,111.984985
2017-01-11,111.974193
2017-01-12,112.008188
2017-01-13,112.087011
2017-01-14,112.210706
2017-01-15,112.379321
2017-01-16,112.592908
2017-01-17,112.851521
2017-01-18,113.155219
2017-01-19,113.504061
2017-01-20,113.898107
2017-01-21,114.337418
2017-01-22,114.822055
2017-01-23,115.352074
2017-01-24,115.927530
2017-01-25,116.548473
2017-01-26,117.214944
2017-01-27,117.926978
2017-01-28,118.684598
2017-01-29,119.487816
2017-01-30,120.336628
2017-01-31,121.231014
2017-02-01,122.170934
2017-02-02,123.156326
2017-02-03,124.187103
2017-02-04,125.263153
2017-02-05,126.384329
2017-02-06,127.550454
2017-02-07,128.761313
2017-02-08,130.016652
2017-02-09,131.316173
2017-02-10,132.659531
2017-02-11,134.046332
2017-02-12,135.476127
2017-02-13,136.948412
2017-02-14,138.462620
2017-02-15,140.018122
2017-02-16,141.614219
2017-02-17,143.250142
2017-02-18,144.925048
2017-02-19,146.638013
2017-02-20,148.388035
2017-02-21,150.174026
2017-02-22,151.994809
2017-02-23,153.849118
2017-02-24,155.735593
2017-02-25,157.652781
2017-02-26,159.599127
2017-02-27,161.572980
2017-02-28,163.572586
2017-03-01,165.596088
2017-03-02,167.641528
2017-03-03,169.706843
2017-03-04,171.789865
2017-03-05,173.888324
2017-03-06,175.999848
2017-03-07,178.121962
2017-03-08,180.252093
2017-03-09,182.387571
2017-03-10,184.525633
2017-03-11,186.663425
2017-03-12,188.798006
2017-03-13,190.926356
2017-03-14,193.045377
2017-03-15,195.151903
2017-03-16,197.242703
2017-03-17,199.314489
2017-03-18,201.363928
2017-03-19,203.387641
2017-03-20,205.382223
2017-03-21,207.344243
2017-03-22,209.270258
2017-03-23,211.156823
2017-03-24,213.000500
2017-03-25,214.797871
2017-03-26,216.545547
2017-03-27,218.240181
2017-03-28,219.878479
2017-03-29,221.457210
2017-03-30,222.973220
2017-03-31,224.423445
2017-04-01,225.804918
2017-04-02,227.114784
2017-04-03,228.350309
2017-04-04,229.508893
2017-04-05,230.588080
2017-04-06,231.585567
2017-04-07,232.499215
2017-04-08,233.327054
2017-04-09,234.067299
2017-04-10,234.718351
2017-04-11,235.278804
2017-04-12,235.747457
2017-04-13,236.123312
2017-04-14,236.405584
2017-04-15,236.593700
2017-04-16,236.687305
2017-04-17,236.686262
2017-04-18,236.590652
2017-04-19,236.400773
2017-04-20,236.117144
2017-04-21,235.740494
2017-04-22,235.271766
